ID,Neo Reference ID,Name,Limited Name,Designation,NASA JPL URL,Absolute Magnitude (H),Min Diameter (km),Max Diameter (km),Min Diameter (m),Max Diameter (m),Min Diameter (miles),Max Diameter (miles),Min Diameter (feet),Max Diameter (feet),Is Potentially Hazardous,Close Approach Date,Close Approach Date (Full),Epoch Date Close Approach,Relative Velocity (km/s),Relative Velocity (km/h),Relative Velocity (miles/h),Miss Distance (astronomical),Miss Distance (lunar),Miss Distance (km),Miss Distance (miles),Orbiting Body
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,12/27/1900,1900-Dec-27 01:30,-2.17788E+12,5.578619188,20083.02907,12478.81326,0.314929169,122.5074469,47112732.93,29274494.77,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,11/5/1907,1907-Nov-05 03:31,-1.96153E+12,4.394490889,15820.1672,9830.036668,0.471485543,183.407876,70533232.89,43827318.62,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,4/20/1917,1917-Apr-20 21:19,-1.66304E+12,4.816784018,17340.42247,10774.66417,0.499257206,194.2110531,74687814.6,46408855.99,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,3/5/1924,1924-Mar-05 22:13,-1.44608E+12,4.596054886,16545.79759,10280.91517,0.359786489,139.9569442,53823292.39,33444243.06,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,1/30/1931,1931-Jan-30 04:07,-1.22825E+12,5.920818534,21314.94672,13244.27898,0.174073146,67.71445372,26040971.84,16181109.57,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,1/13/1938,1938-Jan-13 22:04,-1.00873E+12,6.084052405,21902.58866,13609.41682,0.215005241,83.63703855,32164326.02,19985985.42,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,11/27/1944,1944-Nov-27 01:41,-7.91936E+11,3.626098636,13053.95509,8111.220039,0.403009056,156.7705228,60289296.38,37462031.64,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,4/4/1961,1961-Apr-04 09:08,-2.75929E+11,3.707836448,13348.21121,8294.059351,0.44249213,172.1294386,66195880.15,41132212.6,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,2/11/1968,1968-Feb-11 13:46,-59566440000,6.066884973,21840.7859,13571.01499,0.266271406,103.5795768,39833635.13,24751473.13,Earth
2000433,2000433,433 Eros (A898 PA),Eros,433,http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2000433,10.41,22.00670271,49.20848322,22006.70271,49208.48322,13.67432687,30.57672443,72200.47052,161445.1601,FALSE,1/23/1975,1975-Jan-23 07:39,1.59695E+11,5.825307683,20971.10766,13030.63076,0.151134191,58.79120026,22609353.04,14048800.53,Earth
